abstract,lead_paragraph,headline,headline_main,abstract_polarity,abstract_subjectivity,lead_paragraph_polarity,lead_paragraph_subjectivity,headline_polarity,headline_subjectivity,year,month
The guidelines encourage schools to offer low-fat and whole-grain snacks or fruits and to limit sugary drinks.,"WASHINGTON — The Obama administration on Friday released its long-awaited nutritional guidelines for snack foods sold in schools, an effort to combat the expanding waistlines of school-age children.","{'main': 'U.S. Releases New Rules for School Snack Foods', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.S. Releases New Rules For School Snack Foods', 'name': None, 'seo': None, 'sub': None}",U.S. Releases New Rules for School Snack Foods,0.0,0.0,0.0,0.0,0.13636363636363635,0.45454545454545453,2013,2
"“Don’t forget to pay attention to the message, and don’t let the media define what you’re trying to do,” a former Senate leader warned.","WASHINGTON — As eight senators in a bipartisan group look ahead to a broad immigration overhaul, they are also looking back to 2006 and 2007 — the last time a major immigration measure was considered — as something of a reverse playbook.","{'main': 'Senators Look at Past Failures for Lessons on Immigration Overhaul', 'kicker': None, 'content_kicker': None, 'print_headline': 'Senators Look to Last Decade’s Failures for Lessons on Immigration Overhaul', 'name': None, 'seo': None, 'sub': None}",Senators Look at Past Failures for Lessons on Immigration Overhaul,0.0,0.0,0.03125,0.21979166666666666,-0.25,0.25,2013,2
"The sense that Chuck Hagel performed poorly in his confirmation hearing has buoyed the outside groups that have been working to defeat his nomination, many of them financed by donors who refuse to identify themselves (and are not legally compelled to do so).","The sense that Chuck Hagel performed poorly in his confirmation hearing has buoyed the outside groups that have been working to defeat his nomination, many of them financed by donors who refuse to identify themselves (and are not legally compelled to do so).","{'main': 'Anti-Hagel Groups Emboldened After Confirmation Hearing', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Anti-Hagel Groups Emboldened After Confirmation Hearing,-6.938893903907228e-18,0.33749999999999997,-6.938893903907228e-18,0.33749999999999997,0.0,0.0,2013,2
"One in five Texans older than 25 does not have a high school diploma, and efforts to change that are hampered by a state law that cuts off public-education financing at 26.","In 2009, all that stood between Anita Rodriguez and a high school diploma was one standardized test. She was a student at the Austin Independent School District, and had the required credits for graduating but could not pass her TAKS math exam. ","{'main': 'Plan for Older Students Faces Obstacles', 'kicker': 'The Texas Tribune', 'content_kicker': None, 'print_headline': 'Plan for Older Students Faces Obstacles', 'name': None, 'seo': None, 'sub': None}",Plan for Older Students Faces Obstacles,0.16333333333333333,0.43666666666666665,0.08,0.3325,0.05833333333333333,0.16666666666666666,2013,2
A study assigns a theoretical donor’s price to obtaining a desirable overseas position.,It is the unspoken question on every big donor’s lips: How much do I have to give — really — to get appointed to a desirable diplomatic post by the president?,"{'main': 'Study Puts ‘Cost’ to Landing Embassy Post', 'kicker': None, 'content_kicker': None, 'print_headline': 'Study Puts ‘Cost’ to Landing Embassy Post', 'name': None, 'seo': None, 'sub': None}",Study Puts ‘Cost’ to Landing Embassy Post,0.0,0.1,0.13333333333333333,0.16666666666666666,0.0,0.0,2013,2
"Up for re-election in 2014 and still deeply unpopular, Gov. Rick Scott announced the largest proposed budget in Florida history on Thursday — $74.2 billion, or $4 billion more than last year.","MIAMI — Up for re-election in 2014 and still deeply unpopular, Gov. Rick Scott announced the largest proposed budget in Florida history on Thursday — $74.2 billion, or $4 billion more than last year — and said he wanted to sharply increase education spending.","{'main': 'In Turnaround, Governor Wants to Spend in Florida', 'kicker': None, 'content_kicker': None, 'print_headline': 'In Turnaround, Governor Wants to Spend in Florida', 'name': None, 'seo': None, 'sub': None}","In Turnaround, Governor Wants to Spend in Florida",0.16666666666666666,0.32222222222222224,0.09375,0.4291666666666667,0.2,0.1,2013,2
Critics say focusing on mental illness as a component of gun violence unfairly singles out people more likely to be a victim of violence than a cause.,"In their fervor to take action against gun violence after the shooting in Newtown, Conn., a growing number of state and national politicians are promoting a focus on mental illness as a way to help prevent further killings.","{'main': 'Focus on Mental Health Laws to Curb Violence Is Unfair, Some Say', 'kicker': None, 'content_kicker': None, 'print_headline': 'Focus on Mental Health Laws to Curb Violence Is Unfair, Some Say', 'name': None, 'seo': None, 'sub': None}","Focus on Mental Health Laws to Curb Violence Is Unfair, Some Say",-0.034999999999999996,0.55,0.0,0.26666666666666666,-0.3,0.6,2013,2
"In his confirmation hearing on Thursday, Chuck Hagel became the latest official to send what many inside the administration fear has been an inconsistent and confusing message to Iran’s supreme leader about the possibility of using military measures to prevent Iran from obtaining a nuclear weapon.","Dealing with Iran is complicated, but President Obama’s policy on the question of whether a nuclear-armed Iran could be successfully “contained’’ – the way the Soviet Union was during the cold war – is simple.","{'main': 'On Iran, Hagel Muddles the Message', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","On Iran, Hagel Muddles the Message",0.15,0.475,-0.0875,0.8267857142857143,0.0,0.0,2013,2
"Energy Secretary Steven Chu, a winner of the Nobel Prize, will leave office soon, possibly by the end of this month.","Energy Secretary Steven Chu will step down soon, possibly by the end of the month, he said in a statement on Friday, ending a four-year tenure in which he concentrated on fostering research and development of clean energy technologies, and opponents pilloried him over stimulus loans that went bad. ","{'main': 'Energy Secretary Is Resigning After 4 Years Focused on Clean Technologies', 'kicker': None, 'content_kicker': None, 'print_headline': 'Energy Secretary Is Resigning After 4 Years Focused on Clean Technologies', 'name': None, 'seo': None, 'sub': None}",Energy Secretary Is Resigning After 4 Years Focused on Clean Technologies,0.0,1.0,-0.12222222222222218,0.6638888888888889,0.3666666666666667,0.7000000000000001,2013,2
"Our quirky, discerning picks for the most interesting things to do around the state this week.","Our quirky, discerning picks for the most interesting things to do around the state this week.","{'main': 'GTT ★', 'kicker': 'Texas Monthly', 'content_kicker': None, 'print_headline': 'GTT', 'name': None, 'seo': None, 'sub': None}",GTT ★,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,2013,2
